FIPS,Code,Name,Type,Year,Population,Median Household Income,Population Source,Median Household Income Source
41,OR,Oregon,state,2010,3837073,46560,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
42,PA,Pennsylvania,state,2010,12711063,49288,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
44,RI,Rhode Island,state,2010,1053169,52254,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
45,SC,South Carolina,state,2010,4635834,42018,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
46,SD,South Dakota,state,2010,816227,45904,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
47,TN,Tennessee,state,2010,6355882,41461,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
48,TX,Texas,state,2010,25241648,48615,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
49,UT,Utah,state,2010,2775260,54744,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
50,VT,Vermont,state,2010,625842,49406,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
51,VA,Virginia,state,2010,8025206,60674,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
53,WA,Washington,state,2010,6741386,55631,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
54,WV,West Virginia,state,2010,1854315,38218,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
55,WI,Wisconsin,state,2010,5690403,49001,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
56,WY,Wyoming,state,2010,564376,53512,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
60,AS,American Samoa,territory,2010,55519,23892,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
66,GU,Guam,territory,2010,159358,48274,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
69,MP,Northern Mariana Islands,territory,2010,53883,19958,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
72,PR,Puerto Rico,territory,2010,3721525,18862,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 American Community Survey 1-Year Estimates"
78,VI,U.S. Virgin Islands,territory,2010,106405,37254,"U.S. Census Bureau, 2010 Census","U.S. Census Bureau, 2010 Census"
1,AL,Alabama,state,2011,4798649,41415,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
2,AK,Alaska,state,2011,722259,67825,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
4,AZ,Arizona,state,2011,6465488,46709,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
5,AR,Arkansas,state,2011,2938640,38758,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
6,CA,California,state,2011,37672654,57287,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
8,CO,Colorado,state,2011,5116411,55387,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
9,CT,Connecticut,state,2011,3591927,65753,"U.S. Census Bureau, 2011 Population Estimate","U.S. Census Bureau, 2011 American Community Survey 1-Year Estimates"
